item_id	run_index	run_label	tool_called	call_count	notes
cc-1:CC-1-05	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-05	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-06	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-06	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-06	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-08	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-08	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-08	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-09	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-09	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-1:CC-1-09	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-10	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-10	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-10	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-11	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-11	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-11	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-12	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-12	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-12	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-13	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-13	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-13	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-14	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-14	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-14	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-15	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-15	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-15	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-16	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-16	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-16	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-17	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-17	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-17	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-18	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-18	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-18	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-19	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-19	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-19	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-20	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-20	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-20	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-21	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-1:CC-1-21	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-1:CC-1-21	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-22	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-22	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-22	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-23	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-23	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-23	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-24	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-24	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-24	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-25	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-25	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-25	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-26	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-1:CC-1-26	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-1:CC-1-26	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-27	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
